"new_id","Date","Year","dhw_max","parrot","macro","ssta_freq_sd","temp_max","depth","exposure_fac","cyclone_mag","turbidity","urchin_sum_all"
50,"2014-04-15",2014,0,13.25,0.0125,1.29,303.27,5,1,50.274206,NA,0.25
50,"2005-11-07",2005,2.24999994970858,4.5,0.03125,1.29,303.27,5,0,50.274206,0.034101068,0
50,"2010-04-06",2010,1.12999997474253,9.75,0.0375,1.29,303.27,5,0,50.274206,0.034457224,2.25
50,"2011-04-05",2011,0.459999989718199,18.25,0,1.29,303.27,5,0,50.274206,0.033838143,6.25
53,"2013-01-17",2013,0.92999997921288,10.75,0.09375,1.29,303.44,4,0,57.168342,NA,18.25
53,"2014-01-23",2014,0,8.5,0.0375,1.29,303.44,4,0,57.168342,NA,8.75
54,"2013-04-11",2013,0.499999988824129,3,0.13125,1.64,303.38,5,0,51.277073,NA,0.5
54,"2014-04-17",2014,0,3.75,0.18125,1.64,303.38,5,0,51.277073,NA,0.5
54,"2003-11-05",2003,0,0,0,1.64,303.38,5,0,51.277073,0.033599885,0
54,"2004-11-05",2004,4.90999989025295,0.5,0,1.64,303.38,5,0,51.277073,0.037309225,4
54,"2007-01-11",2007,0.299999993294477,3.75,0.05625,1.64,303.38,5,0,51.277073,0.036025509,0.25
55,"2010-04-08",2010,1.12999997474253,2.75,0.2125,1.64,303.38,6,0,51.277073,0.03535257,2.25
55,"2011-04-07",2011,0.629999985918403,3.75,0.2875,1.64,303.38,6,0,51.277073,0.03675241,0
56,"2010-04-08",2010,1.23999997228384,3.25,0.2,1.49,303.38,1,0,51.277073,0.035352858,0
56,"2011-04-07",2011,0.629999985918403,5.5,0,1.49,303.38,1,0,51.277073,0.036752344,1.5
57,"2013-04-11",2013,0.339999992400408,3.5,0.05625,1.49,303.38,1.3,0,51.277073,NA,1.25
57,"2014-04-17",2014,0,3.25,0,1.49,303.38,1.3,0,51.277073,NA,1.25
58,"2003-11-05",2003,0,0.75,0,1.473333333,303.2966667,5,0,51.277073,0.033601201,0
58,"2004-11-05",2004,4.96999988891184,4.5,0,1.473333333,303.2966667,5,0,51.277073,0.037309888,0
58,"2007-01-11",2007,0.299999993294477,8.25,0,1.473333333,303.2966667,5,0,51.277073,0.036025509,0
59,"2010-04-08",2010,1.23999997228384,9.25,0.00625,1.473333333,303.2966667,6,0,51.277073,0.035352858,2.25
59,"2011-04-07",2011,0.629999985918403,5,0,1.473333333,303.2966667,6,0,51.277073,0.036752344,1.25
60,"2013-04-11",2013,0.339999992400408,9.25,0.00625,1.473333333,303.2966667,5.5,0,51.277073,NA,0
60,"2014-04-17",2014,0,7.5,0,1.473333333,303.2966667,5.5,0,51.277073,NA,2.5
63,"2010-02-05",2010,1.99999995529652,2,0.49375,1.58,303.32,3,0,53.559358,0.035418976,0
63,"2011-02-11",2011,0,4.25,0.45,1.58,303.32,3,0,53.559358,0.035062033,0
64,"2013-03-19",2013,0.96999997831881,3.25,0.4125,1.58,303.32,4,0,53.559358,NA,0
64,"2006-11-09",2006,0.149999996647239,0.25,0.36875,1.58,303.32,4,0,53.559358,0.034466683,0
65,"2013-01-15",2013,3.17999992892146,2,0.01875,1.65,303.13,1.5,0,63.867984,NA,1.75
65,"2014-01-22",2014,0,22.5,0.00625,1.65,303.13,1.5,0,63.867984,NA,1.5
66,"2010-02-05",2010,2.009999955073,6,0.03125,1.5,304.29,3,0,43.489963,0.075332999,0
66,"2011-02-11",2011,0,10.25,0.00625,1.5,304.29,3,0,43.489963,0.0616,0
67,"2013-03-19",2013,0.96999997831881,8.5,0,1.5,304.29,3.5,0,43.489963,NA,0
67,"2014-03-24",2014,0.469999989494681,9.75,0.075,1.5,304.29,3.5,0,43.489963,NA,0
68,"2004-11-02",2004,5.2799998819828,0,0,1.46,304.23,5,1,76.572838,NA,0.25
