"new_id","Reef_Check_ID","Lat","Long","Depth","Date","Year","Location","macro","parrot","bleaching","coral"
2030,"103.181719E.10.738883N",10.73888889,103.1983889,4,2013-04-22,2013,"Southeast Asia",0,1.5,0,0.075
2031,"103.26145E.10.7266385N",10.74330556,103.2781111,3,2013-04-08,2013,"Southeast Asia",0,0,0,0.11875
2032,"103.189348E.10.751873N",10.75186111,103.1893611,7,2013-03-03,2013,"Southeast Asia",0.025,1.5,0,0.2
2033,"103.258226E.10.753298N",10.75330556,103.2582222,3,2013-04-13,2013,"Southeast Asia",0,0,0,0.05
2034,"103.190804E.10.754431N",10.75444444,103.1908056,2,2013-03-13,2013,"Southeast Asia",0,13.75,0,0.00625
2035,"103.259431E.10.742492N",10.75916667,103.2761111,3,2013-04-01,2013,"Southeast Asia",0.04375,0,0,0.0125
2036,"103.187921E.10.747327N",10.764,103.1879167,4,2013-04-03,2013,"Southeast Asia",0,13.5,0,0.18125
2037,"103.186391E.10.747942N",10.76461111,103.1863889,7,2013-04-04,2013,"Southeast Asia",0,1.5,0,0.29375
2038,"103.187413E.10.748255N",10.76491667,103.1874167,4,2013-04-05,2013,"Southeast Asia",0,2.75,3.75,0.2625
2039,"103.191012E.10.767206N",10.76719444,103.191,4,2013-03-07,2013,"Southeast Asia",0,5.25,0,0.1125
2040,"103.190271E.10.767274N",10.76727778,103.1902778,11,2013-03-27,2013,"Southeast Asia",0,0,0,0.11875
2041,"103.256413E.10.769678N",10.76966667,103.2564167,1,2013-02-20,2013,"Southeast Asia",0.075,0,0,0.025
2042,"103.206675E.10.769918N",10.76991667,103.2066667,4,2013-03-09,2013,"Southeast Asia",0,2.25,0,0.55625
2043,"103.201814E.10.770966N",10.77097222,103.2018056,3,2013-03-02,2013,"Southeast Asia",0,1,0,0.2125
2044,"103.207418E.10.771052N",10.77105556,103.2074167,5,2013-02-05,2013,"Southeast Asia",0.11875,4,0,0.29375
2045,"103.226325E.10.771053N",10.77105556,103.243,5,2013-03-01,2013,"Southeast Asia",0,0,0,0.2125
2046,"103.194929E.10.771079N",10.77108333,103.2115833,4,2013-03-19,2013,"Southeast Asia",0,1.75,0,0.0875
2047,"103.194279E.10.771293N",10.77130556,103.2109444,8,2013-03-14,2013,"Southeast Asia",0,0,0,0.03125
2048,"103.265916E.10.759461N",10.77613889,103.2825833,4,2013-03-23,2013,"Southeast Asia",0.00625,0,0,0.21875
2049,"103.188323E.10.7612782N",10.77794444,103.1883333,10,2013-04-09,2013,"Southeast Asia",0,2.5,0,0.125
2050,"103.189123E.10.762006N",10.77866667,103.1891111,4,2013-03-29,2013,"Southeast Asia",0,1,0.5,0.13125
2051,"103.218133E.10.76484N",10.7815,103.2181389,3,2013-03-06,2013,"Southeast Asia",0.06875,0.25,0,0.0625
2052,"103.220724E.10.765768N",10.78244444,103.2207222,3,2013-03-03,2013,"Southeast Asia",0,23.5,0,0.1875
2053,"103.209258E.10.765974N",10.78263889,103.20225,2,2013-03-08,2013,"Southeast Asia",0.0625,0,0,0.03125
2054,"103.247153E.10.7772466N",10.79391667,103.2638333,3,2013-02-01,2013,"Southeast Asia",0.1625,0,0,0.025
2055,"103.229787E.10.777825N",10.7945,103.2464444,4,2013-02-21,2013,"Southeast Asia",0.01875,3,0,0.1625
2056,"103.234749E.10.779879N",10.79655556,103.23475,3,2013-03-21,2013,"Southeast Asia",0,1.5,0,0.4125
2057,"98.12.077E.10.47.970N",10.79944444,98.20138889,5.5,2001-02-08,2001,"Andaman Sea",0,3.5,NA,0.46875
2058,"123.27.27.7E.10.59.6.5N",10.98513889,123.4576944,3.3,2006-04-26,2006,"Philippines",0.10625,1,0,0.15625
2059,"119.44.46.5E.11.07.23N",11.12305556,119.74625,3,1999-08-22,1999,"Philippines",0.3875,NA,NA,0.19375
2060,"119.44.46.5E.11.07.23N",11.12305556,119.74625,10,1999-08-22,1999,"Philippines",0.35625,NA,NA,0.15
2061,"119.40.33E.11.07.33S",11.12583333,119.6758333,3,2000-08-09,2000,"Philippines",0.7375,0,NA,0.04375
2062,"166.50.11E.11.9.12N",11.15333333,166.8363889,6,2002-08-07,2002,"Marshall Islands",0.1375,4.25,NA,0.36875
